id	zi	fyt	py
0016	哎		āi
0017	哀		āi
0018	锿	（鎄）	āi
0024	𫘤	（騃）	ái
0107	澳		ào
0146	灞		bà
0152	白		bái
0167	攽		bān
0183	办	（辦）	bàn
0218	剥		bāo
0267	被		bèi
0272	呗	（唄）	bei
0274	奔	（①△*犇、*奔）	bēn
0334	筚	（篳）	bì
0335	跸	（蹕）	bì
0353	敝		bì
0397	𨚕		biàn
0418	藨		biāo
0448	摈	（擯）	bìn
0502	亳		bó
0515	跛		bǒ
0525	晡		bū
0547	簿		bù
0633	檫		chá
0766	瞋		chēn
0887	憧		chōng
0917	臭		chòu
0923	樗		chū
0979	椽		chuán
1106	璀		cuǐ
1271	到		dào
1296	蹬		dēng
1342	砥		dǐ旧
1370	𭣇	（攧）	diān
1418	咥		dié
1554	镦	（鐓）	dūn
1555	蹾	（**撉）	dūn
1582	哚	（**𫩴）	duǒ
1666	二		èr
1678	法	（①—⑤*㳒、①—⑤*灋）	fǎ
1679	砝		fǎ
1680	发	（髮）	fà
1681	珐	（*琺）	fà
1682	帆	（*㠶、*颿）	fān
1749	朏		fěi
1848	拂		fú
2158	媾		gòu
2204	榖		gǔ
2206	估		gù
2265	瓘		guàn
2277	广	（廣）	guǎng
2280	逛		guàng
2335	国	（國、**囯）	guó
2356	咍		hāi
2360	孩		hái
2361	骸		hái
2391	罕		hǎn
2392	喊		hǎn
2393	蔊		hǎn
2394	阚	（闞）	hǎn
2395	㘎	（㘚）	hǎn
2396	汉	（漢）	hàn
2397	扞		hàn
2398	闬	（閈）	hàn
2399	汗		hàn
2400	旱		hàn
2401	垾		hàn
2402	捍	（△*扞）	hàn
2403	悍	（*猂）	hàn
2404	焊	（*釬、*銲）	hàn
2405	蔊		hàn
2406	菡		hàn
2407	颔	（頷）	hàn
2408	撖		hàn
2409	暵		hàn
2410	撼		hàn
2411	憾		hàn
2412	翰		hàn
2413	瀚		hàn
2422	沆		hàng
2423	巷		hàng
2437	郝		hǎo
2438	号	（號）	hào
2439	好		hào
2440	昊		hào
