Line 6: 腌 | XHZD: ā (a1) | CEDICT: ['yan1']
Line 7: 呵 | XHZD: á (a2) | CEDICT: ['he1', 'a1']
Line 10: 呵 | XHZD: ǎ (a3) | CEDICT: ['he1', 'a1']
Line 12: 呵 | XHZD: à (a4) | CEDICT: ['he1', 'a1']
Line 14: 呵 | XHZD: a (a) | CEDICT: ['he1', 'a1']
Line 18: 锿 | XHZD: ā (a1) | CEDICT: ['ai1']
Line 22: 嗳 | XHZD: āi (ai1) | CEDICT: ['ai3', 'ai4']
Line 46: 厂 | XHZD: ān (an1) | CEDICT: ['chang3', 'han3']
Line 49: 垵 | XHZD: ān (an1) | CEDICT: ['an3']
Line 94: 拗 | XHZD: ǎo (ao3) | CEDICT: ['ao4', 'niu4']
Line 106: 薁 | XHZD: ào (ao4) | CEDICT: ['yu4']
Line 143: 鲌 | XHZD: bà (ba4) | CEDICT: ['bo2']
Line 150: 擘 | XHZD: bāi (bai1) | CEDICT: ['bo4']
Line 152: 拜 | XHZD: bái (bai2) | CEDICT: ['bai4']
Line 182: 办 | XHZD: bǎn (ban3) | CEDICT: ['ban4']
Line 187: 柈 | XHZD: bàn (ban4) | CEDICT: ['pan2']
Line 213: 枹 | XHZD: bāo (bao1) | CEDICT: ['fu1']
Line 270: 呗 | XHZD: bèi (bei4) | CEDICT: ['bai4', 'bei5']
Line 271: 臂 | XHZD: bei (bei) | CEDICT: ['bi4']
Line 275: 栟 | XHZD: bēn (ben1) | CEDICT: ['bing1']
Line 306: 芘 | XHZD: bǐ (bi3) | CEDICT: ['pi2']
Line 350: 敞 | XHZD: bì (bi4) | CEDICT: ['chang3']
Line 408: 骠 | XHZD: biāo (biao1) | CEDICT: ['piao4']
Line 419: 脿 | XHZD: biǎo (biao3) | CEDICT: ['biao1']
Line 424: 瘪 | XHZD: biē (bie1) | CEDICT: ['bie3']
Line 427: 癿 | XHZD: bié (bie2) | CEDICT: ['qie2']
Line 438: 槟 | XHZD: bīn (bin1) | CEDICT: ['bing1']
Line 444: 摈 | XHZD: bīn (bin1) | CEDICT: ['bin4']
Line 498: 毫 | XHZD: bó (bo2) | CEDICT: ['hao2']
Line 500: 艴 | XHZD: bó (bo2) | CEDICT: ['fu2']
Line 518: 卜 | XHZD: bo (bo) | CEDICT: ['bo2', 'bu3']
Line 521: 醭 | XHZD: bú（旧读pú） (bupu2) | CEDICT: ['bu2']
Line 542: 薄 | XHZD: bù (bu4) | CEDICT: ['bo2', 'bao2', 'bo4']
Line 567: 䅟 | XHZD: cǎn (can3) | CEDICT: ['shan1']
Line 632: 叉 | XHZD: chà (cha4) | CEDICT: ['cha3', 'cha2', 'cha1']
Line 658: 单 | XHZD: chán (chan2) | CEDICT: ['dan1', 'shan4']
Line 662: 铤 | XHZD: chán (chan2) | CEDICT: ['ting3', 'ding4']
Line 665: 儳 | XHZD: chán (chan2) | CEDICT: ['chan4']
Line 675: 镡 | XHZD: chán (chan2) | CEDICT: ['xin2', 'tan2']
Line 690: 刬 | XHZD: chàn (chan4) | CEDICT: ['chan3']
Line 727: 吵 | XHZD: chāo (chao1) | CEDICT: ['chao3']
Line 738: 嘲 | XHZD: cháo（旧读zhāo） (chaozhao1) | CEDICT: ['chao2', 'zhao1']
Line 769: 梣 | XHZD: qín (qin2) | CEDICT: ['chen2']
Line 780: 伧 | XHZD: chen (chen) | CEDICT: ['cang1']
Line 789: 樘 | XHZD: chēng (cheng1) | CEDICT: ['tang2', 'cheng3']
Line 821: 牚 | XHZD: chèng (cheng4) | CEDICT: ['cheng1']
Line 844: 漦 | XHZD: chí (chi2) | CEDICT: ['li2']
Line 868: 瘈 | XHZD: chì (chi4) | CEDICT: ['ji4']
Line 880: 懂 | XHZD: chōng (chong1) | CEDICT: ['dong3']
Line 883: 种 | XHZD: chóng (chong2) | CEDICT: ['zhong3', 'zhong4']
Line 915: 摴 | XHZD: chū (chu1) | CEDICT: ['shu1']
Line 932: 储 | XHZD: chǔ（旧读chú） (chuchu2) | CEDICT: ['chu3']
Line 942: 柷 | XHZD: chù (chu4) | CEDICT: ['zhu4']
Line 958: 啜 | XHZD: chuài (chuai4) | CEDICT: ['chuo4']
